BILIBILI2,ID,EQUAL,DATE,COMMENTS,,
BILIBILI2,樱田妮妮b_,男,2020-11-14 11:27,有时间洗不如把在我推的歌底下的同人台词给删了，她和你团没有任何关系，能不能饶了她[呲牙],5,0
BILIBILI2,软妹桃喻,保密,2020-11-14 3:58,"以史为鉴，面向未来，珍爱和平，友好发展。外交部明确说明“不要随之起舞，不希望在看到媒体报道相关不切实的评论。”
造谣的人们该停下就停下了，作为中国人，不要借着“爱国正义”挑拨中国与外国的社交关系。跟风的路人朋友们都不是小孩子了，舆论真真假假，既然知，回应也出来了，怎么就不看了呢。 黑粉的 就当我没说了，你我观念不同，我没办法组织你的行为，但你也没有权利来指责任何与你不涉及利益关系的人
我们堂堂正正，中国外交部的立场，自始至终都是和平，都睁开眼看看正确的舆论叭",6,5
BILIBILI2,F-小姐--,保密,2020-11-14 1:36,建议去看看《世界博览》中华人民共和国外交部十月三十号发文的内容哦，永远叫不醒您们这些带有偏见的人[微笑],5,4
BILIBILI2,_有机红糖,保密,2020-11-13 17:23,"“我们现在做的事，以后会不会有人记得”
山河无恙，国泰民安，晚辈叩谢且铭记于心！",6,1
BILIBILI2,CHAOSbr76,女,2020-11-13 17:21,b站里我唯唯诺诺，网易云评论区我重拳出击，不愧是nt粉丝👏🏻👏🏻仗势欺人，偷换概念有一手啊👏🏻👏🏻,8,0
BILIBILI2,CHAOSbr76,女,2020-11-13 17:19,好家伙我TM直接好家伙，果然nt粉丝这个群体太强大了，事情刚开始出来的时候那帮人就开始护着了，到现在也是，在wyy底下跳的nt粉丝还是那么几个，乌鸡鲅鱼,14,2
BILIBILI2,AKKOqwq,男,2020-11-13 11:20,https://b23.tv/ep349331洗的看看纪录片呗[吃瓜],4,6
BILIBILI2,游牧上单,保密,2020-11-13 9:21,emmm。。长蛋蛋了吗？,1,0
BILIBILI2,想和潇涵贴贴,保密,2020-11-13 7:04,我懂了 留下的真爱粉是不是和当初它英的粉丝是同一批,19,2
BILIBILI2,我想看见你眼里的世界,保密,2020-11-12 15:59,没人记得了吗,2,0
BILIBILI2,CHAOSbr76,女,2020-11-12 14:43,"&#34;骂BTS就是对着天空吐痰，天空啥事儿没有，最后痰掉你脸上&#34;懂？
复制于wyy",6,1
BILIBILI2,神奈咲,女,2020-11-12 11:33,丑八怪哎咿呀咿呀咿呀～,5,0
BILIBILI2,长天无色,保密,2020-11-12 6:30,韩国，呵呵    一个夜郎自大的恶心民族，一个狂妄无知的奴隶民族，一个卑躬屈膝的懦弱民族，一个抄袭借鉴的腐烂民族，一个卑鄙无耻的软弱民族。,5,0
BILIBILI2,仙鼠杰瑞,保密,2020-11-11 21:05,我们班2个nc粉居然为其洗白，说什么是公司让他们说的,6,1
BILIBILI2,咸鱼D自我修养,保密,2020-11-11 20:11,韩国一个被殖民统治的三流小国哪来的勇气天天和中国叫嚣？,5,0
BILIBILI2,诀别千里孤行,男,2020-11-11 19:55,啧啧怎么说呢[笑哭]以前还挺喜欢，现在感觉吧听歌就好，保持距离吧唉,4,1
BILIBILI2,亦明亦凡,男,2020-11-11 16:57,我感觉影响不大，甚至会更火。。。因为世界上不只有中国人，我们做好自己就够了，做一个有主见的人，我爱中国，不是嘴上说说，针对他们团没必要，这个本质上就是美国那个奖的问题，团体本身也是被牵扯的。还有那些说不要一棍子打死的才是真的恶心，难道韩团还分防弹和其他团？你这不就是说的干脆讨厌防弹嘛，那你得话有意义吗？你本质上不还是在粉韩团？,7,7
BILIBILI2,咿呀咿呀想见邬,保密,2020-11-11 15:57,来看看,0,0
BILIBILI2,Floating337,保密,2020-11-11 13:09,恶心,1,0
BILIBILI2,樱田妮妮b_,男,2020-11-11 12:59,rh颠倒历史这种事情都是能随便过去的吗[星星眼]早就领教到这家毒瘤粉丝了，推的歌评论点开全是你家同人游戏的台词[呲牙]有时间跑到别人的地盘大小便不如花几十块钱换个国籍呢这里是这么建议的[害羞],2,0
BILIBILI2,嗑宇少女咩,女,2020-11-11 10:06,我爱防弹,3,10
BILIBILI2,疯狂的制帽酱c,保密,2020-11-11 8:40,dd,0,0
